Campaign,Ad Group,Ad Group Status,Ad Group Type,Language
SD | Marca,Serres Drive,Paused,Standard,Spanish
SD | Genérico Lujo | BCN,Alquiler Coches de Lujo BCN,Paused,Standard,Spanish
SD | Genérico Lujo | BCN,Alquiler Coche Deportivo BCN,Paused,Standard,Spanish
SD | Genérico Lujo | BCN,Alquiler Descapotable BCN,Paused,Standard,Spanish
SD | Genérico Lujo | BCN,Luxury Car Rental BCN (EN),Paused,Standard,English
SD | Por Marca | BCN,Porsche,Paused,Standard,Spanish
SD | Por Marca | BCN,Lamborghini,Paused,Standard,Spanish
SD | Por Marca | BCN,Mercedes-AMG,Paused,Standard,Spanish
SD | Por Marca | BCN,Audi,Paused,Standard,Spanish
SD | Por Marca | BCN,Range Rover,Paused,Standard,Spanish
SD | Por Modelo Premium | BCN,Mercedes-AMG G63,Paused,Standard,Spanish
SD | Por Modelo Premium | BCN,Lamborghini Urus,Paused,Standard,Spanish
SD | Por Modelo Premium | BCN,Audi RS6 Avant,Paused,Standard,Spanish
SD | Por Modelo Premium | BCN,Porsche 911 Cabrio (992),Paused,Standard,Spanish
SD | Por Modelo Premium | BCN,Porsche 911 Carrera S (991),Paused,Standard,Spanish
SD | Por Modelo Premium | BCN,Porsche Cayenne Hybrid,Paused,Standard,Spanish
SD | Por Modelo Premium | BCN,Mercedes-AMG A45 S,Paused,Standard,Spanish
SD | Por Modelo Premium | BCN,Audi RS3 Sportback,Paused,Standard,Spanish
SD | Por Modelo Premium | BCN,Audi RS Q3,Paused,Standard,Spanish
SD | Por Modelo Premium | BCN,Volkswagen Golf 8.5 R,Paused,Standard,Spanish
SD | Por Modelo Premium | BCN,Range Rover Velar,Paused,Standard,Spanish
SD | Por Modelo Económico | BCN,Mercedes GLC,Paused,Standard,Spanish
SD | Por Modelo Económico | BCN,Mercedes A200 4Matic,Paused,Standard,Spanish
SD | Ocasiones | BCN,Coche para Boda BCN,Paused,Standard,Spanish
SD | Ocasiones | BCN,Sesión de Fotos y Eventos BCN,Paused,Standard,Spanish
SD | Ocasiones | BCN,Regalo Experiencia BCN,Paused,Standard,Spanish
