Campaign,Ad Group,Keyword,Criterion Type
SD | Marca,,wrap,Negative Broad
SD | Marca,,wrapping,Negative Broad
SD | Marca,,vinilo,Negative Broad
SD | Marca,,vinilar,Negative Broad
SD | Marca,,ppf,Negative Broad
SD | Marca,,detailing,Negative Broad
SD | Marca,,pulido,Negative Broad
SD | Marca,,ceramico,Negative Broad
SD | Marca,,cerámico,Negative Broad
SD | Marca,,body kit,Negative Broad
SD | Marca,,rotulacion,Negative Broad
SD | Marca,,rotulación,Negative Broad
SD | Marca,,empleo,Negative Broad
SD | Marca,,trabajo,Negative Broad
SD | Genérico Lujo | BCN,,gratis,Negative Broad
SD | Genérico Lujo | BCN,,barato,Negative Broad
SD | Genérico Lujo | BCN,,barata,Negative Broad
SD | Genérico Lujo | BCN,,baratos,Negative Broad
SD | Genérico Lujo | BCN,,baratas,Negative Broad
SD | Genérico Lujo | BCN,,economico,Negative Broad
SD | Genérico Lujo | BCN,,económico,Negative Broad
SD | Genérico Lujo | BCN,,economica,Negative Broad
SD | Genérico Lujo | BCN,,económica,Negative Broad
SD | Genérico Lujo | BCN,,low cost,Negative Broad
SD | Genérico Lujo | BCN,,lowcost,Negative Broad
SD | Genérico Lujo | BCN,,oferta,Negative Broad
SD | Genérico Lujo | BCN,,ofertas,Negative Broad
SD | Genérico Lujo | BCN,,descuento,Negative Broad
SD | Genérico Lujo | BCN,,comprar,Negative Broad
SD | Genérico Lujo | BCN,,compra,Negative Broad
SD | Genérico Lujo | BCN,,venta,Negative Broad
SD | Genérico Lujo | BCN,,vender,Negative Broad
SD | Genérico Lujo | BCN,,segunda mano,Negative Broad
SD | Genérico Lujo | BCN,,ocasion,Negative Broad
SD | Genérico Lujo | BCN,,ocasión,Negative Broad
SD | Genérico Lujo | BCN,,km 0,Negative Broad
SD | Genérico Lujo | BCN,,km0,Negative Broad
SD | Genérico Lujo | BCN,,nuevo precio,Negative Broad
SD | Genérico Lujo | BCN,,precio nuevo,Negative Broad
SD | Genérico Lujo | BCN,,concesionario,Negative Broad
SD | Genérico Lujo | BCN,,ficha tecnica,Negative Broad
SD | Genérico Lujo | BCN,,ficha técnica,Negative Broad
SD | Genérico Lujo | BCN,,prueba,Negative Broad
SD | Genérico Lujo | BCN,,test drive,Negative Broad
SD | Genérico Lujo | BCN,,opiniones,Negative Broad
SD | Genérico Lujo | BCN,,review,Negative Broad
SD | Genérico Lujo | BCN,,renting,Negative Broad
SD | Genérico Lujo | BCN,,leasing,Negative Broad
SD | Genérico Lujo | BCN,,largo plazo,Negative Broad
SD | Genérico Lujo | BCN,,suscripcion,Negative Broad
SD | Genérico Lujo | BCN,,suscripción,Negative Broad
SD | Genérico Lujo | BCN,,financiacion,Negative Broad
SD | Genérico Lujo | BCN,,financiación,Negative Broad
SD | Genérico Lujo | BCN,,cuotas,Negative Broad
SD | Genérico Lujo | BCN,,empleo,Negative Broad
SD | Genérico Lujo | BCN,,trabajo,Negative Broad
SD | Genérico Lujo | BCN,,trabajos,Negative Broad
SD | Genérico Lujo | BCN,,ofertas de empleo,Negative Broad
SD | Genérico Lujo | BCN,,se busca,Negative Broad
SD | Genérico Lujo | BCN,,sueldo,Negative Broad
SD | Genérico Lujo | BCN,,salario,Negative Broad
SD | Genérico Lujo | BCN,,curriculum,Negative Broad
SD | Genérico Lujo | BCN,,vacante,Negative Broad
SD | Genérico Lujo | BCN,,seguro,Negative Broad
SD | Genérico Lujo | BCN,,seguros,Negative Broad
SD | Genérico Lujo | BCN,,aseguradora,Negative Broad
SD | Genérico Lujo | BCN,,taller,Negative Broad
SD | Genérico Lujo | BCN,,reparacion,Negative Broad
SD | Genérico Lujo | BCN,,reparación,Negative Broad
SD | Genérico Lujo | BCN,,mecanico,Negative Broad
SD | Genérico Lujo | BCN,,mecánico,Negative Broad
SD | Genérico Lujo | BCN,,carnet,Negative Broad
SD | Genérico Lujo | BCN,,autoescuela,Negative Broad
SD | Genérico Lujo | BCN,,clases,Negative Broad
SD | Genérico Lujo | BCN,,curso,Negative Broad
SD | Genérico Lujo | BCN,,cursos,Negative Broad
SD | Genérico Lujo | BCN,,vinilo,Negative Broad
SD | Genérico Lujo | BCN,,vinilos,Negative Broad
SD | Genérico Lujo | BCN,,vinilar,Negative Broad
SD | Genérico Lujo | BCN,,wrapping,Negative Broad
SD | Genérico Lujo | BCN,,wrap,Negative Broad
SD | Genérico Lujo | BCN,,rotulacion,Negative Broad
SD | Genérico Lujo | BCN,,rotulación,Negative Broad
SD | Genérico Lujo | BCN,,tuning,Negative Broad
SD | Genérico Lujo | BCN,,laminas,Negative Broad
SD | Genérico Lujo | BCN,,láminas,Negative Broad
SD | Genérico Lujo | BCN,,ppf,Negative Broad
SD | Genérico Lujo | BCN,,detailing,Negative Broad
SD | Genérico Lujo | BCN,,pulido,Negative Broad
SD | Genérico Lujo | BCN,,pulir,Negative Broad
SD | Genérico Lujo | BCN,,ceramico,Negative Broad
