id,title,description,link,image_link,price,brand,product_type,availability,condition
mercedes-amg-g63,Alquiler Mercedes-AMG G63 en Barcelona,"Mercedes-AMG G63 desde 1.000 € al día, 6.000 € por semana. Entrega en Barcelona por 100 €. Reserva por WhatsApp.",https://serresdrive.com/coches/mercedes-amg-g63,,1000.00 EUR,Mercedes-AMG,Alquiler de vehículos > SUV,in stock,new
lamborghini-urus,Alquiler Lamborghini Urus en Barcelona,"Lamborghini Urus desde 1.100 € al día, 6.500 € por semana. Entrega en Barcelona por 100 €. Reserva por WhatsApp.",https://serresdrive.com/coches/lamborghini-urus,,1100.00 EUR,Lamborghini,Alquiler de vehículos > SUV,in stock,new
audi-rs6-avant,Alquiler Audi RS6 Avant en Barcelona,"Audi RS6 Avant desde 900 € al día, 5.500 € por semana. Entrega en Barcelona por 100 €. Reserva por WhatsApp.",https://serresdrive.com/coches/audi-rs6-avant,,900.00 EUR,Audi,Alquiler de vehículos > Deportivo,in stock,new
porsche-911-cabrio,Alquiler Porsche 911 Cabrio (992) en Barcelona,"Porsche 911 Cabrio (992) desde 800 € al día, 4.600 € por semana. Entrega en Barcelona por 100 €. Reserva por WhatsApp.",https://serresdrive.com/coches/porsche-911-cabrio,,800.00 EUR,Porsche,Alquiler de vehículos > Descapotable,in stock,new
porsche-911-carrera-s,Alquiler Porsche 911 Carrera S (991) en Barcelona,"Porsche 911 Carrera S (991) desde 700 € al día, 3.500 € por semana. Entrega en Barcelona por 100 €. Reserva por WhatsApp.",https://serresdrive.com/coches/porsche-911-carrera-s,,700.00 EUR,Porsche,Alquiler de vehículos > Deportivo,in stock,new
porsche-cayenne-hybrid,Alquiler Porsche Cayenne Hybrid en Barcelona,"Porsche Cayenne Hybrid desde 700 € al día, 3.500 € por semana. Entrega en Barcelona por 100 €. Reserva por WhatsApp.",https://serresdrive.com/coches/porsche-cayenne-hybrid,,700.00 EUR,Porsche,Alquiler de vehículos > SUV,in stock,new
mercedes-amg-a45,Alquiler Mercedes-AMG A45 S en Barcelona,"Mercedes-AMG A45 S desde 450 € al día, 2.000 € por semana. Entrega en Barcelona por 100 €. Reserva por WhatsApp.",https://serresdrive.com/coches/mercedes-amg-a45,,450.00 EUR,Mercedes-AMG,Alquiler de vehículos > Deportivo,in stock,new
audi-rs3-sportback,Alquiler Audi RS3 Sportback en Barcelona,"Audi RS3 Sportback desde 450 € al día, 2.000 € por semana. Entrega en Barcelona por 100 €. Reserva por WhatsApp.",https://serresdrive.com/coches/audi-rs3-sportback,,450.00 EUR,Audi,Alquiler de vehículos > Deportivo,in stock,new
audi-rsq3,Alquiler Audi RS Q3 en Barcelona,"Audi RS Q3 desde 450 € al día, 2.000 € por semana. Entrega en Barcelona por 100 €. Reserva por WhatsApp.",https://serresdrive.com/coches/audi-rsq3,,450.00 EUR,Audi,Alquiler de vehículos > SUV,in stock,new
volkswagen-golf-r,Alquiler Volkswagen Golf 8.5 R en Barcelona,"Volkswagen Golf 8.5 R desde 400 € al día, 1.800 € por semana. Entrega en Barcelona por 100 €. Reserva por WhatsApp.",https://serresdrive.com/coches/volkswagen-golf-r,,400.00 EUR,Volkswagen,Alquiler de vehículos > Deportivo,in stock,new
range-rover-velar,Alquiler Range Rover Velar en Barcelona,"Range Rover Velar desde 350 € al día, 1.800 € por semana. Entrega en Barcelona por 100 €. Reserva por WhatsApp.",https://serresdrive.com/coches/range-rover-velar,,350.00 EUR,Range Rover,Alquiler de vehículos > SUV,in stock,new
mercedes-glc,Alquiler Mercedes GLC en Barcelona,"Mercedes GLC desde 200 € al día, 1.000 € por semana. Entrega en Barcelona por 100 €. Reserva por WhatsApp.",https://serresdrive.com/coches/mercedes-glc,,200.00 EUR,Mercedes-Benz,Alquiler de vehículos > SUV,in stock,new
mercedes-a200-4matic,Alquiler Mercedes A200 4Matic en Barcelona,"Mercedes A200 4Matic desde 150 € al día, 900 € por semana. Entrega en Barcelona por 100 €. Reserva por WhatsApp.",https://serresdrive.com/coches/mercedes-a200-4matic,,150.00 EUR,Mercedes-Benz,Alquiler de vehículos > Compacto,in stock,new
